Top_K,Feature,Selection_Count,Selection_Frequency
5,thal,25,1.0
5,ca,25,1.0
5,oldpeak,21,0.84
5,cp,25,1.0
5,exang,24,0.96
5,thalach,2,0.08
5,slope,3,0.12
8,thal,25,1.0
8,ca,25,1.0
8,oldpeak,25,1.0
8,cp,25,1.0
8,sex,8,0.32
8,trestbps,10,0.4
8,thalach,23,0.92
8,exang,25,1.0
8,slope,22,0.88
8,restecg,7,0.28
8,age,5,0.2
10,thal,25,1.0
10,slope,24,0.96
10,ca,25,1.0
10,age,23,0.92
10,oldpeak,25,1.0
10,cp,25,1.0
10,sex,20,0.8
10,trestbps,24,0.96
10,thalach,25,1.0
10,exang,25,1.0
10,restecg,8,0.32
10,chol,1,0.04
13,thal,25,1.0
13,chol,25,1.0
13,slope,25,1.0
13,ca,25,1.0
13,restecg,25,1.0
13,fbs,25,1.0
13,age,25,1.0
13,oldpeak,25,1.0
13,cp,25,1.0
13,sex,25,1.0
13,trestbps,25,1.0
13,thalach,25,1.0
13,exang,25,1.0
