Top_K,Run,Selected_Features
5,1,"['ca', 'thal', 'exang', 'oldpeak', 'cp']"
5,2,"['ca', 'thal', 'cp', 'oldpeak', 'thalach']"
5,3,"['ca', 'thal', 'cp', 'exang', 'slope']"
5,4,"['thal', 'ca', 'oldpeak', 'cp', 'exang']"
5,5,"['ca', 'thal', 'cp', 'exang', 'oldpeak']"
5,6,"['ca', 'thal', 'exang', 'cp', 'oldpeak']"
5,7,"['thal', 'ca', 'cp', 'oldpeak', 'exang']"
5,8,"['ca', 'thal', 'exang', 'cp', 'oldpeak']"
5,9,"['ca', 'thal', 'cp', 'exang', 'oldpeak']"
5,10,"['thal', 'ca', 'cp', 'exang', 'oldpeak']"
5,11,"['ca', 'thal', 'exang', 'cp', 'oldpeak']"
5,12,"['thal', 'ca', 'oldpeak', 'cp', 'exang']"
5,13,"['ca', 'thal', 'oldpeak', 'cp', 'exang']"
5,14,"['ca', 'thal', 'exang', 'cp', 'oldpeak']"
5,15,"['ca', 'thal', 'cp', 'exang', 'slope']"
5,16,"['thal', 'ca', 'cp', 'exang', 'thalach']"
5,17,"['ca', 'oldpeak', 'thal', 'cp', 'exang']"
5,18,"['ca', 'thal', 'exang', 'cp', 'oldpeak']"
5,19,"['ca', 'thal', 'oldpeak', 'exang', 'cp']"
5,20,"['thal', 'ca', 'exang', 'cp', 'oldpeak']"
5,21,"['ca', 'thal', 'cp', 'exang', 'oldpeak']"
5,22,"['ca', 'thal', 'cp', 'oldpeak', 'exang']"
5,23,"['ca', 'thal', 'exang', 'cp', 'oldpeak']"
5,24,"['ca', 'thal', 'oldpeak', 'exang', 'cp']"
5,25,"['ca', 'thal', 'cp', 'exang', 'slope']"
8,1,"['ca', 'thal', 'exang', 'oldpeak', 'cp', 'sex', 'trestbps', 'thalach']"
8,2,"['ca', 'thal', 'cp', 'oldpeak', 'thalach', 'exang', 'trestbps', 'slope']"
8,3,"['ca', 'thal', 'cp', 'exang', 'slope', 'oldpeak', 'thalach', 'restecg']"
8,4,"['thal', 'ca', 'oldpeak', 'cp', 'exang', 'thalach', 'slope', 'sex']"
8,5,"['ca', 'thal', 'cp', 'exang', 'oldpeak', 'thalach', 'slope', 'age']"
8,6,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'restecg']"
8,7,"['thal', 'ca', 'cp', 'oldpeak', 'exang', 'slope', 'restecg', 'trestbps']"
8,8,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'trestbps']"
8,9,"['ca', 'thal', 'cp', 'exang', 'oldpeak', 'slope', 'thalach', 'sex']"
8,10,"['thal', 'ca', 'cp', 'exang', 'oldpeak', 'thalach', 'slope', 'age']"
8,11,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'sex', 'slope', 'thalach']"
8,12,"['thal', 'ca', 'oldpeak', 'cp', 'exang', 'thalach', 'restecg', 'slope']"
8,13,"['ca', 'thal', 'oldpeak', 'cp', 'exang', 'thalach', 'slope', 'age']"
8,14,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'restecg']"
8,15,"['ca', 'thal', 'cp', 'exang', 'slope', 'oldpeak', 'sex', 'trestbps']"
8,16,"['thal', 'ca', 'cp', 'exang', 'thalach', 'oldpeak', 'slope', 'trestbps']"
8,17,"['ca', 'oldpeak', 'thal', 'cp', 'exang', 'thalach', 'slope', 'sex']"
8,18,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'age']"
8,19,"['ca', 'thal', 'oldpeak', 'exang', 'cp', 'thalach', 'sex', 'slope']"
8,20,"['thal', 'ca', 'exang', 'cp', 'oldpeak', 'thalach', 'trestbps', 'slope']"
8,21,"['ca', 'thal', 'cp', 'exang', 'oldpeak', 'slope', 'thalach', 'sex']"
8,22,"['ca', 'thal', 'cp', 'oldpeak', 'exang', 'thalach', 'trestbps', 'restecg']"
8,23,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'trestbps', 'slope']"
8,24,"['ca', 'thal', 'oldpeak', 'exang', 'cp', 'thalach', 'restecg', 'age']"
8,25,"['ca', 'thal', 'cp', 'exang', 'slope', 'oldpeak', 'thalach', 'trestbps']"
10,1,"['ca', 'thal', 'exang', 'oldpeak', 'cp', 'sex', 'trestbps', 'thalach', 'slope', 'age']"
10,2,"['ca', 'thal', 'cp', 'oldpeak', 'thalach', 'exang', 'trestbps', 'slope', 'sex', 'age']"
10,3,"['ca', 'thal', 'cp', 'exang', 'slope', 'oldpeak', 'thalach', 'restecg', 'trestbps', 'age']"
10,4,"['thal', 'ca', 'oldpeak', 'cp', 'exang', 'thalach', 'slope', 'sex', 'age', 'trestbps']"
10,5,"['ca', 'thal', 'cp', 'exang', 'oldpeak', 'thalach', 'slope', 'age', 'trestbps', 'sex']"
10,6,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'restecg', 'age', 'trestbps']"
10,7,"['thal', 'ca', 'cp', 'oldpeak', 'exang', 'slope', 'restecg', 'trestbps', 'thalach', 'age']"
10,8,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'trestbps', 'sex', 'age']"
10,9,"['ca', 'thal', 'cp', 'exang', 'oldpeak', 'slope', 'thalach', 'sex', 'trestbps', 'age']"
10,10,"['thal', 'ca', 'cp', 'exang', 'oldpeak', 'thalach', 'slope', 'age', 'trestbps', 'sex']"
10,11,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'sex', 'slope', 'thalach', 'trestbps', 'age']"
10,12,"['thal', 'ca', 'oldpeak', 'cp', 'exang', 'thalach', 'restecg', 'slope', 'age', 'trestbps']"
10,13,"['ca', 'thal', 'oldpeak', 'cp', 'exang', 'thalach', 'slope', 'age', 'trestbps', 'sex']"
10,14,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'restecg', 'sex', 'trestbps']"
10,15,"['ca', 'thal', 'cp', 'exang', 'slope', 'oldpeak', 'sex', 'trestbps', 'thalach', 'age']"
10,16,"['thal', 'ca', 'cp', 'exang', 'thalach', 'oldpeak', 'slope', 'trestbps', 'sex', 'chol']"
10,17,"['ca', 'oldpeak', 'thal', 'cp', 'exang', 'thalach', 'slope', 'sex', 'age', 'trestbps']"
10,18,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'age', 'trestbps', 'sex']"
10,19,"['ca', 'thal', 'oldpeak', 'exang', 'cp', 'thalach', 'sex', 'slope', 'restecg', 'age']"
10,20,"['thal', 'ca', 'exang', 'cp', 'oldpeak', 'thalach', 'trestbps', 'slope', 'sex', 'age']"
10,21,"['ca', 'thal', 'cp', 'exang', 'oldpeak', 'slope', 'thalach', 'sex', 'age', 'trestbps']"
10,22,"['ca', 'thal', 'cp', 'oldpeak', 'exang', 'thalach', 'trestbps', 'restecg', 'sex', 'age']"
10,23,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'trestbps', 'slope', 'sex', 'age']"
10,24,"['ca', 'thal', 'oldpeak', 'exang', 'cp', 'thalach', 'restecg', 'age', 'trestbps', 'slope']"
10,25,"['ca', 'thal', 'cp', 'exang', 'slope', 'oldpeak', 'thalach', 'trestbps', 'sex', 'age']"
13,1,"['ca', 'thal', 'exang', 'oldpeak', 'cp', 'sex', 'trestbps', 'thalach', 'slope', 'age', 'chol', 'restecg', 'fbs']"
13,2,"['ca', 'thal', 'cp', 'oldpeak', 'thalach', 'exang', 'trestbps', 'slope', 'sex', 'age', 'restecg', 'chol', 'fbs']"
13,3,"['ca', 'thal', 'cp', 'exang', 'slope', 'oldpeak', 'thalach', 'restecg', 'trestbps', 'age', 'sex', 'chol', 'fbs']"
13,4,"['thal', 'ca', 'oldpeak', 'cp', 'exang', 'thalach', 'slope', 'sex', 'age', 'trestbps', 'restecg', 'chol', 'fbs']"
13,5,"['ca', 'thal', 'cp', 'exang', 'oldpeak', 'thalach', 'slope', 'age', 'trestbps', 'sex', 'chol', 'restecg', 'fbs']"
13,6,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'restecg', 'age', 'trestbps', 'chol', 'sex', 'fbs']"
13,7,"['thal', 'ca', 'cp', 'oldpeak', 'exang', 'slope', 'restecg', 'trestbps', 'thalach', 'age', 'chol', 'sex', 'fbs']"
13,8,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'trestbps', 'sex', 'age', 'restecg', 'chol', 'fbs']"
13,9,"['ca', 'thal', 'cp', 'exang', 'oldpeak', 'slope', 'thalach', 'sex', 'trestbps', 'age', 'chol', 'restecg', 'fbs']"
13,10,"['thal', 'ca', 'cp', 'exang', 'oldpeak', 'thalach', 'slope', 'age', 'trestbps', 'sex', 'chol', 'restecg', 'fbs']"
13,11,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'sex', 'slope', 'thalach', 'trestbps', 'age', 'chol', 'restecg', 'fbs']"
13,12,"['thal', 'ca', 'oldpeak', 'cp', 'exang', 'thalach', 'restecg', 'slope', 'age', 'trestbps', 'sex', 'chol', 'fbs']"
13,13,"['ca', 'thal', 'oldpeak', 'cp', 'exang', 'thalach', 'slope', 'age', 'trestbps', 'sex', 'chol', 'restecg', 'fbs']"
13,14,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'restecg', 'sex', 'trestbps', 'age', 'chol', 'fbs']"
13,15,"['ca', 'thal', 'cp', 'exang', 'slope', 'oldpeak', 'sex', 'trestbps', 'thalach', 'age', 'restecg', 'chol', 'fbs']"
13,16,"['thal', 'ca', 'cp', 'exang', 'thalach', 'oldpeak', 'slope', 'trestbps', 'sex', 'chol', 'age', 'restecg', 'fbs']"
13,17,"['ca', 'oldpeak', 'thal', 'cp', 'exang', 'thalach', 'slope', 'sex', 'age', 'trestbps', 'restecg', 'chol', 'fbs']"
13,18,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'age', 'trestbps', 'sex', 'chol', 'restecg', 'fbs']"
13,19,"['ca', 'thal', 'oldpeak', 'exang', 'cp', 'thalach', 'sex', 'slope', 'restecg', 'age', 'trestbps', 'chol', 'fbs']"
13,20,"['thal', 'ca', 'exang', 'cp', 'oldpeak', 'thalach', 'trestbps', 'slope', 'sex', 'age', 'restecg', 'chol', 'fbs']"
13,21,"['ca', 'thal', 'cp', 'exang', 'oldpeak', 'slope', 'thalach', 'sex', 'age', 'trestbps', 'chol', 'restecg', 'fbs']"
13,22,"['ca', 'thal', 'cp', 'oldpeak', 'exang', 'thalach', 'trestbps', 'restecg', 'sex', 'age', 'slope', 'chol', 'fbs']"
13,23,"['ca', 'thal', 'exang', 'cp', 'oldpeak', 'thalach', 'trestbps', 'slope', 'sex', 'age', 'chol', 'restecg', 'fbs']"
13,24,"['ca', 'thal', 'oldpeak', 'exang', 'cp', 'thalach', 'restecg', 'age', 'trestbps', 'slope', 'chol', 'sex', 'fbs']"
13,25,"['ca', 'thal', 'cp', 'exang', 'slope', 'oldpeak', 'thalach', 'trestbps', 'sex', 'age', 'chol', 'restecg', 'fbs']"
