Top_K,Feature,Selection_Count,Selection_Frequency
5,ca,25,1.0
5,thal,25,1.0
5,exang,23,0.92
5,oldpeak,17,0.68
5,cp,18,0.72
5,restecg,14,0.56
5,thalach,2,0.08
5,slope,1,0.04
8,ca,25,1.0
8,thalach,25,1.0
8,thal,25,1.0
8,sex,10,0.4
8,exang,25,1.0
8,oldpeak,25,1.0
8,slope,25,1.0
8,cp,25,1.0
8,restecg,14,0.56
8,age,1,0.04
10,ca,25,1.0
10,thalach,25,1.0
10,thal,25,1.0
10,sex,24,0.96
10,trestbps,10,0.4
10,exang,25,1.0
10,oldpeak,25,1.0
10,slope,25,1.0
10,cp,25,1.0
10,age,19,0.76
10,restecg,22,0.88
13,ca,25,1.0
13,thalach,25,1.0
13,thal,25,1.0
13,sex,25,1.0
13,trestbps,25,1.0
13,exang,25,1.0
13,oldpeak,25,1.0
13,fbs,25,1.0
13,slope,25,1.0
13,chol,25,1.0
13,cp,25,1.0
13,restecg,25,1.0
13,age,25,1.0
