Top_K,Run,Selected_Features
5,1,"['thal', 'ca', 'exang', 'oldpeak', 'cp']"
5,2,"['thal', 'ca', 'exang', 'oldpeak', 'cp']"
5,3,"['thal', 'cp', 'ca', 'restecg', 'exang']"
5,4,"['thal', 'cp', 'oldpeak', 'restecg', 'ca']"
5,5,"['thal', 'ca', 'cp', 'exang', 'oldpeak']"
5,6,"['thal', 'ca', 'exang', 'cp', 'oldpeak']"
5,7,"['thal', 'ca', 'cp', 'oldpeak', 'exang']"
5,8,"['thal', 'ca', 'exang', 'restecg', 'oldpeak']"
5,9,"['thal', 'ca', 'exang', 'restecg', 'oldpeak']"
5,10,"['thal', 'ca', 'restecg', 'exang', 'thalach']"
5,11,"['thal', 'ca', 'exang', 'restecg', 'cp']"
5,12,"['thal', 'ca', 'exang', 'oldpeak', 'cp']"
5,13,"['thal', 'ca', 'exang', 'restecg', 'oldpeak']"
5,14,"['thal', 'cp', 'ca', 'restecg', 'exang']"
5,15,"['thal', 'ca', 'exang', 'restecg', 'cp']"
5,16,"['thal', 'ca', 'restecg', 'cp', 'thalach']"
5,17,"['thal', 'ca', 'exang', 'oldpeak', 'cp']"
5,18,"['thal', 'ca', 'exang', 'cp', 'oldpeak']"
5,19,"['thal', 'ca', 'exang', 'restecg', 'oldpeak']"
5,20,"['thal', 'ca', 'exang', 'cp', 'oldpeak']"
5,21,"['thal', 'ca', 'exang', 'cp', 'oldpeak']"
5,22,"['thal', 'ca', 'exang', 'restecg', 'cp']"
5,23,"['thal', 'ca', 'exang', 'restecg', 'oldpeak']"
5,24,"['thal', 'ca', 'exang', 'restecg', 'oldpeak']"
5,25,"['thal', 'ca', 'cp', 'exang', 'slope']"
8,1,"['thal', 'ca', 'exang', 'oldpeak', 'cp', 'slope', 'thalach', 'sex']"
8,2,"['thal', 'ca', 'exang', 'oldpeak', 'cp', 'thalach', 'slope', 'sex']"
8,3,"['thal', 'cp', 'ca', 'restecg', 'exang', 'oldpeak', 'slope', 'thalach']"
8,4,"['thal', 'cp', 'oldpeak', 'restecg', 'ca', 'exang', 'thalach', 'slope']"
8,5,"['thal', 'ca', 'cp', 'exang', 'oldpeak', 'thalach', 'slope', 'sex']"
8,6,"['thal', 'ca', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'sex']"
8,7,"['thal', 'ca', 'cp', 'oldpeak', 'exang', 'thalach', 'slope', 'sex']"
8,8,"['thal', 'ca', 'exang', 'restecg', 'oldpeak', 'cp', 'thalach', 'slope']"
8,9,"['thal', 'ca', 'exang', 'restecg', 'oldpeak', 'cp', 'slope', 'thalach']"
8,10,"['thal', 'ca', 'restecg', 'exang', 'thalach', 'cp', 'oldpeak', 'slope']"
8,11,"['thal', 'ca', 'exang', 'restecg', 'cp', 'oldpeak', 'slope', 'thalach']"
8,12,"['thal', 'ca', 'exang', 'oldpeak', 'cp', 'thalach', 'slope', 'sex']"
8,13,"['thal', 'ca', 'exang', 'restecg', 'oldpeak', 'cp', 'thalach', 'slope']"
8,14,"['thal', 'cp', 'ca', 'restecg', 'exang', 'oldpeak', 'thalach', 'slope']"
8,15,"['thal', 'ca', 'exang', 'restecg', 'cp', 'oldpeak', 'slope', 'thalach']"
8,16,"['thal', 'ca', 'restecg', 'cp', 'thalach', 'oldpeak', 'exang', 'slope']"
8,17,"['thal', 'ca', 'exang', 'oldpeak', 'cp', 'thalach', 'slope', 'sex']"
8,18,"['thal', 'ca', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'sex']"
8,19,"['thal', 'ca', 'exang', 'restecg', 'oldpeak', 'cp', 'slope', 'thalach']"
8,20,"['thal', 'ca', 'exang', 'cp', 'oldpeak', 'thalach', 'slope', 'sex']"
8,21,"['thal', 'ca', 'exang', 'cp', 'oldpeak', 'slope', 'thalach', 'sex']"
