Top_K,Run,Selected_Features
5,1,"['cp', 'thalach', 'thal', 'ca', 'oldpeak']"
5,2,"['thal', 'thalach', 'ca', 'cp', 'oldpeak']"
5,3,"['cp', 'ca', 'thal', 'thalach', 'oldpeak']"
5,4,"['thal', 'oldpeak', 'ca', 'cp', 'age']"
5,5,"['thal', 'cp', 'ca', 'thalach', 'oldpeak']"
5,6,"['cp', 'thal', 'ca', 'thalach', 'age']"
5,7,"['thal', 'oldpeak', 'ca', 'cp', 'age']"
5,8,"['cp', 'ca', 'thal', 'oldpeak', 'thalach']"
5,9,"['ca', 'thal', 'cp', 'thalach', 'oldpeak']"
5,10,"['cp', 'thal', 'oldpeak', 'thalach', 'ca']"
5,11,"['cp', 'thalach', 'thal', 'ca', 'oldpeak']"
5,12,"['oldpeak', 'thalach', 'thal', 'ca', 'cp']"
5,13,"['cp', 'ca', 'thal', 'oldpeak', 'trestbps']"
5,14,"['cp', 'ca', 'thal', 'oldpeak', 'thalach']"
5,15,"['cp', 'thal', 'ca', 'thalach', 'oldpeak']"
5,16,"['thal', 'cp', 'thalach', 'ca', 'age']"
5,17,"['cp', 'oldpeak', 'ca', 'thalach', 'age']"
5,18,"['cp', 'ca', 'thal', 'oldpeak', 'thalach']"
5,19,"['thal', 'ca', 'oldpeak', 'cp', 'thalach']"
5,20,"['cp', 'thal', 'ca', 'oldpeak', 'thalach']"
5,21,"['thal', 'ca', 'cp', 'oldpeak', 'thalach']"
5,22,"['cp', 'oldpeak', 'ca', 'thalach', 'thal']"
5,23,"['thal', 'cp', 'ca', 'oldpeak', 'thalach']"
5,24,"['thal', 'thalach', 'ca', 'oldpeak', 'cp']"
5,25,"['cp', 'thal', 'ca', 'thalach', 'oldpeak']"
8,1,"['cp', 'thalach', 'thal', 'ca', 'oldpeak', 'age', 'exang', 'trestbps']"
8,2,"['thal', 'thalach', 'ca', 'cp', 'oldpeak', 'age', 'trestbps', 'exang']"
8,3,"['cp', 'ca', 'thal', 'thalach', 'oldpeak', 'age', 'exang', 'trestbps']"
8,4,"['thal', 'oldpeak', 'ca', 'cp', 'age', 'thalach', 'exang', 'trestbps']"
8,5,"['thal', 'cp', 'ca', 'thalach', 'oldpeak', 'age', 'chol', 'exang']"
