Method,Top_K,Model,Selected_Features,Accuracy,Precision,Recall,F1,ROC_AUC
ANOVA,5,Logistic Regression,"Bp, Su, Ba, Bu, Ane",0.5303030303030303,0.5391304347826087,0.6078431372549019,0.5714285714285714,0.5587214052287581
ANOVA,5,Random Forest,"Bp, Su, Ba, Bu, Ane",0.5303030303030303,0.5473684210526316,0.5098039215686274,0.5279187817258884,0.5600490196078433
ANOVA,5,XGBoost,"Bp, Su, Ba, Bu, Ane",0.5151515151515151,0.5288461538461539,0.5392156862745098,0.5339805825242718,0.519812091503268
ANOVA,10,Logistic Regression,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr",0.5606060606060606,0.5630252100840336,0.6568627450980392,0.6063348416289592,0.5894607843137255
ANOVA,10,Random Forest,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr",0.5050505050505051,0.5208333333333334,0.49019607843137253,0.5050505050505051,0.5129187091503269
ANOVA,10,XGBoost,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr",0.4797979797979798,0.49473684210526314,0.46078431372549017,0.47715736040609136,0.4959150326797385
ANOVA,15,Logistic Regression,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr, Sg, Dm, Pcc, Pe, Al",0.5555555555555556,0.5660377358490566,0.5882352941176471,0.5769230769230769,0.5684232026143792
ANOVA,15,Random Forest,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr, Sg, Dm, Pcc, Pe, Al",0.5555555555555556,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5509599673202614
ANOVA,15,XGBoost,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr, Sg, Dm, Pcc, Pe, Al",0.5353535353535354,0.55,0.5392156862745098,0.5445544554455446,0.5448325163398693
ANOVA,20,Logistic Regression,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr, Sg, Dm, Pcc, Pe, Al, Pot, Wbcc, Cad, Rbc, Htn",0.5505050505050505,0.5596330275229358,0.5980392156862745,0.5781990521327014,0.5750612745098038
ANOVA,20,Random Forest,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr, Sg, Dm, Pcc, Pe, Al, Pot, Wbcc, Cad, Rbc, Htn",0.5303030303030303,0.5454545454545454,0.5294117647058824,0.5373134328358209,0.5435559640522876
ANOVA,20,XGBoost,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr, Sg, Dm, Pcc, Pe, Al, Pot, Wbcc, Cad, Rbc, Htn",0.51010101010101,0.5225225225225225,0.5686274509803921,0.5446009389671361,0.5086805555555556
