Method,Top-K,Model,Selected Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
ANOVA + Rank Fusion DODA,5,Logistic Regression,"Bp, Su, Ba, Bu, Ane",0.5303030303030303,0.5391304347826087,0.6078431372549019,0.5714285714285714,0.5587214052287581
ANOVA + Rank Fusion DODA,5,Random Forest,"Bp, Su, Ba, Bu, Ane",0.5303030303030303,0.5463917525773195,0.5196078431372549,0.5326633165829145,0.5478962418300654
ANOVA + Rank Fusion DODA,5,XGBoost,"Bp, Su, Ba, Bu, Ane",0.5454545454545454,0.5638297872340425,0.5196078431372549,0.5408163265306123,0.586703431372549
ANOVA + Rank Fusion DODA,8,Logistic Regression,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc",0.5555555555555556,0.5614035087719298,0.6274509803921569,0.5925925925925926,0.5818014705882353
ANOVA + Rank Fusion DODA,8,Random Forest,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc",0.494949494949495,0.5104166666666666,0.4803921568627451,0.494949494949495,0.5080678104575164
ANOVA + Rank Fusion DODA,8,XGBoost,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc",0.46464646464646464,0.4777777777777778,0.4215686274509804,0.4479166666666667,0.47099673202614384
ANOVA + Rank Fusion DODA,10,Logistic Regression,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr",0.5606060606060606,0.5630252100840336,0.6568627450980392,0.6063348416289592,0.5894607843137255
ANOVA + Rank Fusion DODA,10,Random Forest,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr",0.5,0.5161290322580645,0.47058823529411764,0.49230769230769234,0.5093443627450981
ANOVA + Rank Fusion DODA,10,XGBoost,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr",0.46464646464646464,0.47959183673469385,0.46078431372549017,0.47,0.4866217320261438
ANOVA + Rank Fusion DODA,13,Logistic Regression,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr, Sg, Dm, Pcc",0.5555555555555556,0.5636363636363636,0.6078431372549019,0.5849056603773585,0.5694444444444444
ANOVA + Rank Fusion DODA,13,Random Forest,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr, Sg, Dm, Pcc",0.5151515151515151,0.53,0.5196078431372549,0.5247524752475248,0.5045445261437909
ANOVA + Rank Fusion DODA,13,XGBoost,"Bp, Su, Ba, Bu, Ane, Rbcc, Pcv, Sc, Appet, Bgr, Sg, Dm, Pcc",0.51010101010101,0.5257731958762887,0.5,0.5125628140703518,0.5044934640522876
